game_id,season,season_type,week,kickoff_utc,kickoff_epoch,home_team_id,home_team_name,home_team_school,away_team_id,away_team_name,away_team_school,home_points,away_points,home_margin,home_division,away_division,home_conference,away_conference,cross_division,neutral_site,venue_name,venue_city,venue_state,competition_type,conference_competition,overtime,source_authority,source_authority_tier,source_url,source_raw_sha256,tier_1_corroboration
ESPN-2020-401212522,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,2655,Tulane Green Wave,Tulane,2426,Navy Midshipmen,Navy,24,27,-3,FBS,FBS,American Conference,American Conference,False,False,Yulman Stadium,New Orleans,LA,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401212541,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,2132,Cincinnati Bearcats,Cincinnati,2046,Austin Peay Governors,Austin Peay,55,20,35,FBS,FCS,American Conference,Ohio Valley Conference,True,False,Nippert Stadium,Cincinnati,OH,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401215301,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,2247,Georgia State Panthers,Georgia State,309,Louisiana Ragin' Cajuns,Louisiana,31,34,-3,FBS,FBS,Sun Belt Conference,Sun Belt Conference,False,False,Center Parc Stadium,Atlanta,GA,REGULAR_SEASON,True,True,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401234567,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,150,Duke Blue Devils,Duke,103,Boston College Eagles,Boston College,6,26,-20,FBS,FBS,Atlantic Coast Conference,Atlantic Coast Conference,False,False,Wallace Wade Stadium,Durham,NC,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401234571,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,221,Pittsburgh Panthers,Pittsburgh,183,Syracuse Orange,Syracuse,21,10,11,FBS,FBS,Atlantic Coast Conference,Atlantic Coast Conference,False,False,Acrisure Stadium,Pittsburgh,PA,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401236041,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,197,Oklahoma State Cowboys,Oklahoma State,202,Tulsa Golden Hurricane,Tulsa,16,7,9,FBS,FBS,Big 12 Conference,American Conference,False,False,Boone Pickens Stadium,Stillwater,OK,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401241282,2020,REGULAR_SEASON,3,2020-09-19T18:30:00Z,1600540200,87,Notre Dame Fighting Irish,Notre Dame,58,South Florida Bulls,South Florida,52,0,52,FBS,FBS,Atlantic Coast Conference,American Conference,False,False,Notre Dame Stadium,Notre Dame,IN,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401234568,2020,REGULAR_SEASON,3,2020-09-19T19:30:00Z,1600543800,59,Georgia Tech Yellow Jackets,Georgia Tech,2116,UCF Knights,UCF,21,49,-28,FBS,FBS,Atlantic Coast Conference,American Conference,False,False,Bobby Dodd Stadium,Atlanta,GA,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401236939,2020,REGULAR_SEASON,3,2020-09-19T19:30:00Z,1600543800,276,Marshall Thundering Herd,Marshall,2026,Appalachian State Mountaineers,Appalachian State,17,7,10,FBS,FBS,Conference USA,Sun Belt Conference,False,False,Joan C. Edwards Stadium,Huntington,WV,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401240041,2020,REGULAR_SEASON,3,2020-09-19T19:30:00Z,1600543800,2636,UTSA Roadrunners,UTSA,2617,Stephen F. Austin Lumberjacks,Stephen F. Austin,24,10,14,FBS,FCS,Conference USA,Southland Conference,True,False,Alamodome,San Antonio,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401240640,2020,REGULAR_SEASON,3,2020-09-19T19:30:00Z,1600543800,2393,Middle Tennessee Blue Raiders,Middle Tennessee,2653,Troy Trojans,Troy,14,47,-33,FBS,FBS,Conference USA,Sun Belt Conference,False,False,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
ESPN-2020-401237492,2020,REGULAR_SEASON,3,2020-09-19T20:00:00Z,1600545600,228,Clemson Tigers,Clemson,2643,The Citadel Bulldogs,The Citadel,49,0,49,FBS,FCS,Atlantic Coast Conference,Southern Conference,True,False,"Memorial Stadium (Clemson, SC)",Clemson,SC,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
